"Марка";"Номер";"Модель";"Цоколь";"Цветовая температура";"Потребляемая мощность";"Выдаваемая мощность";"Тип лампы";"Страна производства";"Описание";"Подробное описание";"Частота звучания";"Уровень громкости";"";"Объем, л";"Срок годности";"Тип двигателя";"Область действия";"Состав";"Цвет";"Температура начала кристализации";"Органический/Неорганический/Гибридный";"Тип трансмиссии (МКПП)";"Тип трансмиссии (АКПП/Вариатор)";"ГУР";"Вид масла (минеральное/синтетическое/полусинтетическое)";"Вязкость";"Для бензинового двигателя";"Для дизельного двигателя";"Для легковых автомобилей";"Для грузовых автомобилей";"Для мототехники";"Для спецтехники";"Для водной техники";"Перепускной клапан";"Высота, мм";"Внешний диаметр, мм";"Резьба (винтовой диаметр)"
"KYK";"34-041";"KYK TIRE WAX";;;;;;"Япония";"Защитная жидкость для резины";"Создаёт прочную силиконовую плёнку на поверхности резины. <ul>Длительная защита поверхности от влаги, грязи <ul>Придаёт вид новых покрышек, сверкая чёрным глянцем <ul>Специальные присадки предотвращают преждевременное разрушение резины";;;;"4L";"3 года";;"покрышки автомобиля";"Силикон, поверхностно-активные присадки, гликоль, антикоррозийные добавки";;;;;;;;;;;;;;;;;;;
"KYK";"90-005";"KYK OIL JOKKI";;;;;;"Япония";"Для смены жидкости в труднодоступном узле";"Конструкция соединяет в себе одновременно воронку и лейку <ul>В комплект входит лейка для масла 1-2-3-4-5 литров";;;;"5L";;;;"Полиэтилен";;;;;;;;;;;;;;;;;;;
"KYK";"90-015";"KYK OIL JOKKI LONG NOZUMI";;;;;;"Япония";"Для смены жидкости в труднодоступном узле";"Конструкция соединяет в себе одновременно воронку и лейку <ul>Длинные насадки позволяют сменить жидкость в любом труднодоступном узле Специальные держатели насадки не позволяют разлить жидкость <ul>В комплект входит лейка для масла 1-2-3-4-5 литров и длинная насадка";;;;"5L";;;;"Полиэтилен";;;;;;;;;;;;;;;;;;;
"KYK";"51-012";"AKIRA COOLANT -40°C (зеленый)";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для всех автомобилей, кроме Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -40. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"1L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"зеленый";"-40";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"52-036";"AKIRA COOLANT -40°C (зеленый)";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для всех автомобилей, кроме Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -40. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"2L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"зеленый";"-40";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"54-028";"AKIRA COOLANT -40°C (зеленый)";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для всех автомобилей, кроме Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -40. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"4L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"зеленый";"-40";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"55-006";"AKIRA COOLANT -40°C (зеленый)";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для всех автомобилей, кроме Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -40. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"5L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"зеленый";"-40";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"56-292";"AKIRA COOLANT -40°C (зеленый)";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для всех автомобилей, кроме Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -40. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"20L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"зеленый";"-40";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"56-304";"AKIRA COOLANT -40°C (зеленый) Канистра";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для всех автомобилей, кроме Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -40. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"20L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"зеленый";"-40";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"57-904";"AKIRA COOLANT -40°C (зеленый)";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для всех автомобилей, кроме Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -40. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"200L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"зеленый";"-40";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"51-011";"AKIRA COOLANT -40°C (красный)";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -40. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"1L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"красный";"-40";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"52-035";"AKIRA COOLANT -40°C (красный)";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -40. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"2L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"красный";"-40";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"54-027";"AKIRA COOLANT -40°C (красный)";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -40. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"4L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"красный";"-40";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"55-005";"AKIRA COOLANT -40°C (красный)";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -40. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"5L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"красный";"-40";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"56-291";"AKIRA COOLANT -40°C (красный)";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -40. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"20L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"красный";"-40";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"56-303";"AKIRA COOLANT -40°C (красный) Канистра";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -40. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"20L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"красный";"-40";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"57-903";"AKIRA COOLANT -40°C (красный)";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -40. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"200L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"красный";"-40";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"52-092";"KYK SUPER GRADE COOLANT blue -40°C";;;;;;"Япония";"Антифриз всесезонный";"Антифриз длительного срока действия, последнего поколения, органический, карбоксилатный. Можно использовать в автомобилях любого производителя. Основа - стойкие к окислению и теплу органические кислоты, в особенности новые антикоррозийные присадки оказывают великолепный эффект по отношению к алюминиевым деталям. Значительно увеличивает периоды между заменами.";;;;"2L";"7 лет";;;"этиленгликоль (47-50%), вода (47-50%), антикоррозийные присадки (3-5%)- карбоксилатные (органические),противопенные присадки, краситель";"бирюзовый";"-40";"Органический";;;;;;;;;;;;;;;;
"KYK";"56-262";"KYK SUPER GRADE COOLANT blue -40°C";;;;;;"Япония";"Антифриз всесезонный";"Антифриз длительного срока действия, последнего поколения, органический, карбоксилатный. Можно использовать в автомобилях любого производителя. Основа - стойкие к окислению и теплу органические кислоты, в особенности новые антикоррозийные присадки оказывают великолепный эффект по отношению к алюминиевым деталям. Значительно увеличивает периоды между заменами.";;;;"20L";"7 лет";;;"этиленгликоль (47-50%), вода (47-50%), антикоррозийные присадки (3-5%)- карбоксилатные (органические),противопенные присадки, краситель";"бирюзовый";"-40";"Органический";;;;;;;;;;;;;;;;
"KYK";"52-091";"KYK SUPER GRADE COOLANT pink -40°C";;;;;;"Япония";"Антифриз всесезонный";"Антифриз длительного срока действия, последнего поколения, органический, карбоксилатный. Можно использовать в автомобилях любого производителя. Основа - стойкие к окислению и теплу органические кислоты, в особенности новые антикоррозийные присадки оказывают великолепный эффект по отношению к алюминиевым деталям. Значительно увеличивает периоды между заменами.";;;;"2L";"7 лет";;;"этиленгликоль (47-50%), вода (47-50%), антикоррозийные присадки (3-5%)- карбоксилатные (органические),противопенные присадки, краситель";"розовый";"-40";"Органический";;;;;;;;;;;;;;;;
"KYK";"56-261";"KYK SUPER GRADE COOLANT pink -40°C";;;;;;"Япония";"Антифриз всесезонный";"Антифриз длительного срока действия, последнего поколения, органический, карбоксилатный. Можно использовать в автомобилях любого производителя. Основа - стойкие к окислению и теплу органические кислоты, в особенности новые антикоррозийные присадки оказывают великолепный эффект по отношению к алюминиевым деталям. Значительно увеличивает периоды между заменами.";;;;"20L";"7 лет";;;"этиленгликоль (47-50%), вода (47-50%), антикоррозийные присадки (3-5%)- карбоксилатные (органические),противопенные присадки, краситель";"розовый";"-40";"Органический";;;;;;;;;;;;;;;;
"KYK";"52-044";"AKIRA COOLANT - 50°C (зеленый)";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для всех автомобилей, кроме Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -50. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"2L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"зеленый";"-50";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"55-008";"AKIRA COOLANT - 50°C (зеленый)";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для всех автомобилей, кроме Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -50. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"5L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"зеленый";"-50";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"56-308";"AKIRA COOLANT - 50°C (зеленый)";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для всех автомобилей, кроме Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -50. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"20L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"зеленый";"-50";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"56-306";"AKIRA COOLANT - 50°C (зеленый) Канистра";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для всех автомобилей, кроме Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -50. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"20L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"зеленый";"-50";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"57-908";"AKIRA COOLANT - 50°C (зеленый)";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для всех автомобилей, кроме Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -50. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"200L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"зеленый";"-50";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"52-043";"AKIRA COOLANT -50°C (красный)";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -50. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"2L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"красный";"-50";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"55-007";"AKIRA COOLANT -50°C (красный)";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -50. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"5L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"красный";"-50";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"56-307";"AKIRA COOLANT -50°C (красный)";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -50. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"20L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"красный";"-50";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"56-305";"AKIRA COOLANT -50°C (красный) Канистра";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -50. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"20L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"красный";"-50";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"57-907";"AKIRA COOLANT -50°C (красный)";;;;;;"Япония";"Антифриз всесезонный";"Антифриз для Toyota и Daihatsu. Всесезонный. Не содержит амины. Препятствует перегреву двигателя в жару и замерзанию при температуре до -50. Изготовлен на предприятии, имеющем сертификат № CE 0308001стандарта Японии JIS 2234. Обладает антикоррозийным действием. Используется в данной конститенции (не разводить).";;;;"200L";"5 лет";;;"этиленгликоль (47-50%), вода(47-50%), антикоррозийные присадки - фосфаты (3-5%), противопенные присадки, краситель";"красный";"-50";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"52-004";"KYK LLC (Japanese Industrial Standard) 93% (зеленый)";;;;;;"Япония";"Антифриз всесезонный (концентрат)";"Не содержит амин. Используется круглый год. Великолепный противопенный и антикоррозийный эффект.Универсальность: возможность смешивания с водой для получения продукта нужной концентрации(-25°С, -35°С, -50°С).Имеет стандарт JIS (Japanese Industrial Standard) .";;;;"2L";"5 лет";;;"этиленгликоль (93%), антикоррозийные присадки (3-5%),противопенные присадки, краситель";"зеленый";"Разводится до нужной температуры";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"54-004";"KYK LLC (Japanese Industrial Standard) 93% (зеленый)";;;;;;"Япония";"Антифриз всесезонный (концентрат)";"Не содержит амин. Используется круглый год. Великолепный противопенный и антикоррозийный эффект.Универсальность: возможность смешивания с водой для получения продукта нужной концентрации(-25°С, -35°С, -50°С).Имеет стандарт JIS (Japanese Industrial Standard) .";;;;"4L";"5 лет";;;"этиленгликоль (93%), антикоррозийные присадки (3-5%),противопенные присадки, краситель";"зеленый";"Разводится до нужной температуры";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"56-208";"KYK LLC (Japanese Industrial Standard) 93% (зеленый)";;;;;;"Япония";"Антифриз всесезонный (концентрат)";"Не содержит амин. Используется круглый год. Великолепный противопенный и антикоррозийный эффект.Универсальность: возможность смешивания с водой для получения продукта нужной концентрации(-25°С, -35°С, -50°С).Имеет стандарт JIS (Japanese Industrial Standard) .";;;;"20L";"5 лет";;;"этиленгликоль (93%), антикоррозийные присадки (3-5%),противопенные присадки, краситель";"зеленый";"Разводится до нужной температуры";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"57-204";"KYK LLC (Japanese Industrial Standard) 93% (зеленый)";;;;;;"Япония";"Антифриз всесезонный (концентрат)";"Не содержит амин. Используется круглый год. Великолепный противопенный и антикоррозийный эффект.Универсальность: возможность смешивания с водой для получения продукта нужной концентрации(-25°С, -35°С, -50°С).Имеет стандарт JIS (Japanese Industrial Standard) .";;;;"200L";"5 лет";;;"этиленгликоль (93%), антикоррозийные присадки (3-5%),противопенные присадки, краситель";"зеленый";"Разводится до нужной температуры";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"52-003";"KYK LLC (Japanese Industrial Standard) 93% (красный)";;;;;;"Япония";"Антифриз всесезонный (концентрат)";"Не содержит амин. Используется круглый год. Великолепный противопенный и антикоррозийный эффект.Универсальность: возможность смешивания с водой для получения продукта нужной концентрации(-25°С, -35°С, -50°С).Имеет стандарт JIS (Japanese Industrial Standard) .";;;;"2L";"5 лет";;;"этиленгликоль (93%), антикоррозийные присадки (3-5%),противопенные присадки, краситель";"красный";"Разводится до нужной температуры";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"54-003";"KYK LLC (Japanese Industrial Standard) 93% (красный)";;;;;;"Япония";"Антифриз всесезонный (концентрат)";"Не содержит амин. Используется круглый год. Великолепный противопенный и антикоррозийный эффект.Универсальность: возможность смешивания с водой для получения продукта нужной концентрации(-25°С, -35°С, -50°С).Имеет стандарт JIS (Japanese Industrial Standard) .";;;;"4L";"5 лет";;;"этиленгликоль (93%), антикоррозийные присадки (3-5%),противопенные присадки, краситель";"красный";"Разводится до нужной температуры";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"56-207";"KYK LLC (Japanese Industrial Standard) 93% (красный)";;;;;;"Япония";"Антифриз всесезонный (концентрат)";"Не содержит амин. Используется круглый год. Великолепный противопенный и антикоррозийный эффект.Универсальность: возможность смешивания с водой для получения продукта нужной концентрации(-25°С, -35°С, -50°С).Имеет стандарт JIS (Japanese Industrial Standard) .";;;;"20L";"5 лет";;;"этиленгликоль (93%), антикоррозийные присадки (3-5%),противопенные присадки, краситель";"красный";"Разводится до нужной температуры";"Неорганический";;;;;;;;;;;;;;;;
"KYK";"57-203";"KYK LLC (Japanese Industrial Standard) 93% (красный)";;;;;;"Япония";"Антифриз всесезонный (концентрат)";"Не содержит амин. Используется круглый год. Великолепный противопенный и антикоррозийный эффект.Универсальность: возможность смешивания с водой для получения продукта нужной концентрации(-25°С, -35°С, -50°С).Имеет стандарт JIS (Japanese Industrial Standard) .";;;;"200L";"5 лет";;;"этиленгликоль (93%), антикоррозийные присадки (3-5%),противопенные присадки, краситель";"красный";"Разводится до нужной температуры";"Неорганический";;;;;;;;;;;;;;;;
"IDEMITSU";"30450242-724";"Idemitsu ATF D2";;;;;;;"Многофункциональная жидкость для всех типов современных автоматических коробок передач";"Многофункциональная жидкость для всех типов современных автоматических коробок передач. Обеспечивает плавное переключение в тяжелых условиях эксплуатации. Отличные показатели работы и защиты при высоких температурах и тяжелых нагрузках. Отличная защита от преждевременного износа. Соответствует требованиям GM Dexron II-D, Ford Mercon, Dension HF-0 & GM Allison C3 & C3";;;;"1л";;;;;;;;;"АКПП";;"Полусинтетическое";;;;;;;;;;;;
"IDEMITSU";"30450242-520";"IDEMITSU ATF D1";;;;;;;"Многофункциональная жидкость для всех типов современных автоматических коробок передач";"Многофункциональная жидкость для всех типов современных автоматических коробок передач. Обеспечивает плавное переключение в тяжелых условиях эксплуатации. Отличные показатели работы и защиты при высоких температурах и тяжелых нагрузках. Отличная защита от преждевременного износа. Соответствует требованиям GM Dexron II-D, Ford Mercon, Dension HF-0 & GM, Allison C3 & C3";;;;"20л";;;;;;;;;"АКПП";;"Полусинтетическое";;;;;;;;;;;;
"IDEMITSU";"30450243-520";"IDEMITSU ATF D2";;;;;;;"Многофункциональная жидкость для всех типов современных автоматических коробок передач";"Многофункциональная жидкость для всех типов современных автоматических коробок передач. Обеспечивает плавное переключение в тяжелых условиях эксплуатации. Отличные показатели работы и защиты при высоких температурах и тяжелых нагрузках. Отличная защита от преждевременного износа. Соответствует требованиям GM Dexron II-D, Ford Mercon, Dension HF-0 & GM, Allison C3 & C3";;;;"20л";;;;;;;;;"АКПП";;"Полусинтетическое";;;;;;;;;;;;
"IDEMITSU";"30450038-724";"Idemitsu Multi ATF";;;;;;;"Универсальная жидкость для автоматических коробок передач";"Idemitsu Multi ATF - представляет собой технологически совершенную современную жидкость для автоматических коробок передач, пригодную для использования во всех современных многоступенчатых АКПП с возможностью ручного режима переключения. Ее специальный состав улучшает четкость и плавность переключения АКПП в тяжелых условиях эксплуатации (частые старты и остановки в крупных городах, буксировка прицепа, преодоление внедорожных участков для автомобилей с полным приводом). DEXRON II, IID, IIE, DEXRON III, IIIG, IIIH, MERCON, MERCON V.";;;;"1л";;;;;;;;;"АКПП";;"Синтетическое";;;;;;;;;;;;
"IDEMITSU";"30450244-724";"IDEMITSU ATF";;;;;;;"Жидкость для автоматических коробок передач";"Idemitsu ATF - представляет собой технологически совершенную современную жидкость для автоматических коробок передач, пригодную для использования во всех современных многоступенчатых АКПП с возможностью ручного режима переключения. Ее специальный состав улучшает четкость и плавность переключения АКПП в тяжелых условиях эксплуатации (частые старты и остановки в крупных городах, буксировка прицепа, преодоление внедорожных участков для автомобилей с полным приводом). DEXRON II, IID, IIE, DEXRON III, IIIG, IIIH, MERCON, MERCON V.";;;;"1л";;;;;;;;;"АКПП";;"Синтетическое";;;;;;;;;;;;
"IDEMITSU";"30450038-746";"Idemitsu Multi ATF";;;;;;;"Универсальная жидкость для автоматических коробок передач";"Idemitsu Multi ATF - представляет собой технологически совершенную современную жидкость для автоматических коробок передач, пригодную для использования во всех современных многоступенчатых АКПП с возможностью ручного режима переключения. Ее специальный состав улучшает четкость и плавность переключения АКПП в тяжелых условиях эксплуатации (частые старты и остановки в крупных городах, буксировка прицепа, преодоление внедорожных участков для автомобилей с полным приводом). DEXRON II, IID, IIE, DEXRON III, IIIG, IIIH, MERCON, MERCON V.";;;;"4л";;;;;;;;;"АКПП";;"Синтетическое";;;;;;;;;;;;
"IDEMITSU";"30450244-746";"IDEMITSU ATF";;;;;;;"Жидкость для автоматических коробок передач";"Idemitsu ATF - представляет собой технологически совершенную современную жидкость для автоматических коробок передач, пригодную для использования во всех современных многоступенчатых АКПП с возможностью ручного режима переключения. Ее специальный состав улучшает четкость и плавность переключения АКПП в тяжелых условиях эксплуатации (частые старты и остановки в крупных городах, буксировка прицепа, преодоление внедорожных участков для автомобилей с полным приводом). DEXRON II, IID, IIE, DEXRON III, IIIG, IIIH, MERCON, MERCON V.";;;;"4л";;;;;;;;;"АКПП";;"Синтетическое";;;;;;;;;;;;
"IDEMITSU";"30450038-520";"Idemitsu Multi ATF";;;;;;;"Универсальная жидкость для автоматических коробок передач";"Idemitsu Multi ATF - представляет собой технологически совершенную современную жидкость для автоматических коробок передач, пригодную для использования во всех современных многоступенчатых АКПП с возможностью ручного режима переключения. Ее специальный состав улучшает четкость и плавность переключения АКПП в тяжелых условиях эксплуатации (частые старты и остановки в крупных городах, буксировка прицепа, преодоление внедорожных участков для автомобилей с полным приводом). DEXRON II, IID, IIE, DEXRON III, IIIG, IIIH, MERCON, MERCON V.";;;;"20л";;;;;;;;;"АКПП";;"Синтетическое";;;;;;;;;;;;
